               0.00000000             150.00000000               0.00000000             149.99800000               0.00000000               0.00000000              30.00000000               0.00000000              -1.00000000    997512160331.33178711
               0.04000000              30.51719920               0.98084794           40145.25846044               0.37654266           -2646.54819893              25.96624026          999667.92635396           -2217.92181589    997512160331.33178711
               0.08000000             -22.51499271              -6.82340024           80131.97545201             -88.34032996            1401.67613050            -368.42699670          999667.92384433           -2217.92181459    994870313610.42150879
               0.12000000              39.96720462             220.29778784          120118.69238684            -177.05720252            -581.99112482           11022.89370880          999667.92301227           -2217.92181352   1035357773885.97583008
               0.16000000              16.46255395             659.61902377          160105.40929820            -265.77407505            -588.57029298           10966.28483903          999667.92259618           -2217.92181287   1035340751032.31616211
               0.20000000              -7.08405094            1098.00985884          200092.12619668            -354.49094755            -588.67641036           10955.21275302          999667.92234643           -2217.92181244   1035340553698.78527832
               0.24000000             -30.62994185            1536.11266367          240078.84308700            -443.20782004            -588.61400987           10950.46863496          999667.92217989           -2217.92181214   1035340537335.26623535
               0.28000000             -54.17321599            1974.07422293          280065.55997170            -531.92469252            -588.55157864           10947.83229047          999667.92206090           -2217.92181191   1035340534481.13562012
               0.32000000             -77.71423797            2411.95169512          320052.27685227            -620.64156500            -588.50152577           10946.15424317          999667.92197165           -2217.92181174   1035340533739.95104980
               0.36000000            -101.25348080            2849.77332710          360038.99372969            -709.35843746            -588.46216684           10944.99232347          999667.92190223           -2217.92181161   1035340533492.99841309
               0.40000000            -124.79131823            3287.55516093          400025.71060463            -798.07530992            -588.43085424           10944.14013802          999667.92184668           -2217.92181150   1035340533395.36621094
               0.44000000            -148.32802838            3725.30718663          440012.42747756            -886.79218238            -588.40550992           10943.48839834          999667.92180123           -2217.92181141   1035340533351.63623047
               0.48000000            -171.86381850            4163.03604884          479999.14434883            -975.50905484            -588.38464406           10942.97382211          999667.92176335           -2217.92181133   1035340533330.09472656
               0.52000000            -195.39884535            4600.74639155          519985.86121871           -1064.22592729            -588.36719837           10942.55722951          999667.92173130           -2217.92181126   1035340533318.65771484
               0.56000000            -218.93322972            5038.44158850          559972.57808739           -1152.94279974            -588.35241248           10942.21306572          999667.92170383           -2217.92181121   1035340533312.20617676
               0.60000000            -242.46706632            5476.12416801          599959.29495506           -1241.65967219            -588.33973056           10941.92395187          999667.92168001           -2217.92181116   1035340533308.38037109
               0.64000000            -266.00043064            5913.79607374          639946.01182183           -1330.37654463            -588.32873884           10941.67765740          999667.92165918           -2217.92181111   1035340533306.01464844
               0.68000000            -289.53338375            6351.45883218          679932.72868783           -1419.09341708            -588.31912391           10941.46532509          999667.92164079           -2217.92181108   1035340533304.49853516
               0.72000000            -313.06597567            6789.11366408          719919.44555313           -1507.81028952            -588.31064448           10941.28038303          999667.92162445           -2217.92181104   1035340533303.49645996
               0.76000000            -336.59824791            7226.76156102          759906.16241781           -1596.52716196            -588.30311203           10941.11785222          999667.92160983           -2217.92181101   1035340533302.81640625
               0.80000000            -360.13023525            7664.40333940          799892.87928193           -1685.24403440            -588.29637726           10940.97389154          999667.92159666           -2217.92181098   1035340533302.34375000
               0.84000000            -383.66196712            8102.03967946          839879.59614556           -1773.96090684            -588.29032050           10940.84549021          999667.92158476           -2217.92181096   1035340533302.00830078
               0.88000000            -407.19346863            8539.67115391          879866.31300873           -1862.67777928            -588.28484473           10940.73025498          999667.92157393           -2217.92181094   1035340533301.76586914
               0.92000000            -430.72476138            8977.29824952          919853.02987148           -1951.39465171            -588.27987053           10940.62625947          999667.92156405           -2217.92181092   1035340533301.58764648
               0.96000000            -454.25586408            9414.92138347          959839.74673386           -2040.11152415            -588.27533224           10940.53193565          999667.92155499           -2217.92181090   1035340533301.45471191
               1.00000000            -477.78679303            9852.54091602          999826.46359589           -2128.82839658            -588.27117516           10940.44599420          999667.92154665           -2217.92181088   1035340533301.35400391
               1.04000000            -501.31756255           10290.15716041         1039813.18045760           -2217.54526902            -588.26735332           10940.36736524          999667.92153895           -2217.92181086   1035340533301.27673340
               1.08000000            -524.84818525           10727.77039072         1079799.89731901           -2306.26214145            -588.26382786           10940.29515353          999667.92153183           -2217.92181085   1035340533301.21716309
               1.12000000            -548.37867229           11165.38084813         1119786.61418015           -2394.97901389            -588.26056566           10940.22860422          999667.92152521           -2217.92181083   1035340533301.17041016
               1.16000000            -571.90903363           11602.98874596         1159773.33104104           -2483.69588632            -588.25753837           10940.16707641          999667.92151905           -2217.92181082   1035340533301.13354492
               1.20000000            -595.43927816           12040.59427385         1199760.04790168           -2572.41275875            -588.25472154           10940.11002239          999667.92151330           -2217.92181081   1035340533301.10400391
               1.24000000            -618.96941388           12478.19760109         1239746.76476211           -2661.12963118            -588.25209401           10940.05697132          999667.92150792           -2217.92181080   1035340533301.08032227
               1.28000000            -642.49944796           12915.79887947         1279733.48162232           -2749.84650362            -588.24963734           10940.00751619          999667.92150288           -2217.92181078   1035340533301.06103516
               1.32000000            -666.02938693           13353.39824559         1319720.19848234           -2838.56337605            -588.24733543           10939.96130335          999667.92149815           -2217.92181077   1035340533301.04541016
               1.36000000            -689.55923667           13790.99582283         1359706.91534218           -2927.28024848            -588.24517411           10939.91802408          999667.92149369           -2217.92181076   1035340533301.03271484
               1.40000000            -713.08900256           14228.59172301         1399693.63220184           -3015.99712091            -588.24314090           10939.87740762          999667.92148948           -2217.92181076   1035340533301.02172852
               1.44000000            -736.61868950           14666.18604775         1439680.34906134           -3104.71399334            -588.24122476           10939.83921555          999667.92148551           -2217.92181075   1035340533301.01306152
