                           t                        norm                    position           analytic position             numerical width              analytic width
      0.1650000000000000E+01      0.9999999999999998E+00     -0.7640252087886815E-02     -0.7912088880673409E-02      0.9965011082875965E+00      0.1724093964956667E+01
      0.1700000000000000E+01      0.1000000000000000E+01     -0.1261246058749186E-01     -0.1288444942955249E-01      0.9929511442327095E+00      0.1772004514666935E+01
      0.1750000000000000E+01      0.9999999999999998E+00     -0.1755300221181278E-01     -0.1782460556494921E-01      0.9875702701624659E+00      0.1820027472320130E+01
      0.1800000000000000E+01      0.9999999999999996E+00     -0.2244947420581362E-01     -0.2272020946930871E-01      0.9803825186638666E+00      0.1868154169226941E+01
      0.1850000000000000E+01      0.9999999999999994E+00     -0.2728959145558701E-01     -0.2755902468245129E-01      0.9714203402572800E+00      0.1916376789673680E+01
      0.1900000000000000E+01      0.1000000000000000E+01     -0.3206121903845125E-01     -0.3232895668635036E-01      0.9607247732114997E+00      0.1964688270438850E+01
      0.1950000000000000E+01      0.1000000000000000E+01     -0.3675240415613655E-01     -0.3701808313512871E-01      0.9483456706899481E+00      0.2013082213919740E+01
      0.2000000000000000E+01      0.1000000000000000E+01     -0.4135140734448054E-01     -0.4161468365471424E-01      0.9343419951389863E+00      0.2061552812808830E+01
      0.2050000000000000E+01      0.1000000000000000E+01     -0.4584673286039891E-01     -0.4610726913767132E-01      0.9187821922310333E+00      0.2110094784600919E+01
      0.2100000000000000E+01      0.1000000000000001E+01     -0.5022715815311245E-01     -0.5048461045998576E-01      0.9017446592860759E+00      0.2158703314492290E+01
      0.2150000000000000E+01      0.1000000000000000E+01     -0.5448176233264988E-01     -0.5473576654802710E-01      0.8833183258636704E+00      0.2207374005464411E+01
      0.2200000000000000E+01      0.9999999999999993E+00     -0.5859995355529377E-01     -0.5885011172553459E-01      0.8636033669931530E+00      0.2256102834535695E+01
      0.2250000000000000E+01      0.9999999999999997E+00     -0.6257149525334138E-01     -0.6281736227227391E-01      0.8427120719801530E+00      0.2304886114323222E+01
      0.2300000000000000E+01      0.9999999999999991E+00     -0.6638653114545236E-01     -0.6662760212798245E-01      0.8207698933184515E+00      0.2353720459187964E+01
      0.2350000000000000E+01      0.9999999999999999E+00     -0.7003560897372270E-01     -0.7027130767735540E-01      0.7979166999582317E+00      0.2402602755346793E+01
      0.2400000000000000E+01      0.9999999999999996E+00     -0.7350970292413500E-01     -0.7373937155412458E-01      0.7743082554004618E+00      0.2451530134426253E+01
      0.2450000000000000E+01      0.1000000000000000E+01     -0.7680023469768907E-01     -0.7702312540473075E-01      0.7501179312011568E+00      0.2500499950009998E+01
      0.2500000000000000E+01      0.1000000000000000E+01     -0.7989909320991588E-01     -0.8011436155469337E-01      0.7255386464920540E+00      0.2549509756796392E+01
      0.2550000000000000E+01      0.9999999999999999E+00     -0.8279865290621416E-01     -0.8300535352352224E-01      0.7007849882210159E+00      0.2598557292037257E+01
      0.2600000000000000E+01      0.9999999999999999E+00     -0.8549179068926184E-01     -0.8568887533689473E-01      0.6760954069694294E+00      0.2647640458974745E+01
      0.2650000000000000E+01      0.9999999999999996E+00     -0.8797190146244124E-01     -0.8815821958782862E-01      0.6517342894390369E+00      0.2696757312032360E+01
      0.2700000000000000E+01      0.1000000000000000E+01     -0.9023291229968122E-01     -0.9040721420170612E-01      0.6279935707352285E+00      0.2745906043549196E+01
      0.2750000000000000E+01      0.1000000000000000E+01     -0.9226929525732297E-01     -0.9243023786324636E-01      0.6051933614084596E+00      0.2795084971874737E+01
      0.2800000000000000E+01      0.9999999999999990E+00     -0.9407607884754256E-01     -0.9422223406686583E-01      0.5836808337061379E+00      0.2844292530665579E+01
      0.2850000000000000E+01      0.9999999999999999E+00     -0.9564885819557303E-01     -0.9577872375530905E-01      0.5638263764565352E+00      0.2893527259246057E+01
      0.2900000000000000E+01      0.1000000000000000E+01     -0.9698380390449213E-01     -0.9709581651495908E-01      0.5460158768593809E+00      0.2942787793912433E+01
      0.2950000000000000E+01      0.9999999999999998E+00     -0.9807766965175362E-01     -0.9817022029984541E-01      0.5306380728505176E+00      0.2992072860075436E+01
      0.3000000000000000E+01      0.9999999999999998E+00     -0.9892779854101794E-01     -0.9899924966004454E-01      0.5180664386725629E+00      0.3041381265149110E+01
      0.3050000000000000E+01      0.9999999999999998E+00     -0.9953212823128088E-01     -0.9958083245390613E-01      0.5086361707092060E+00      0.3090711892105118E+01
      0.3100000000000000E+01      0.1000000000000000E+01     -0.9988919486289564E-01     -0.9991351502732795E-01      0.5026184677046720E+00      0.3140063693621517E+01
      0.3150000000000000E+01      0.1000000000000000E+01     -0.9999813579697137E-01     -0.9999646584713420E-01      0.5001960012781542E+00      0.3189435686763413E+01
      0.3200000000000000E+01      0.1000000000000000E+01     -0.9985869118094437E-01     -0.9982947757947531E-01      0.5014444379635657E+00      0.3238826948140330E+01
      0.3250000000000000E+01      0.1000000000000000E+01     -0.9947120434898256E-01     -0.9941296760805463E-01      0.5063243118272550E+00      0.3288236609491476E+01
      0.3300000000000000E+01      0.1000000000000000E+01     -0.9883662106148597E-01     -0.9874797699088650E-01      0.5146852973727767E+00      0.3337663853655727E+01
      0.3350000000000000E+01      0.1000000000000000E+01     -0.9795648758342390E-01     -0.9783616785819342E-01      0.5262817945401413E+00      0.3387107910887989E+01
      0.3400000000000000E+01      0.1000000000000000E+01     -0.9683294759678346E-01     -0.9667981925794610E-01      0.5407960773369479E+00      0.3436568055487917E+01
      0.3450000000000000E+01      0.1000000000000000E+01     -0.9546873793814498E-01     -0.9528182145943048E-01      0.5578641317168082E+00      0.3486043602710672E+01
      0.3500000000000000E+01      0.9999999999999999E+00     -0.9386718314850863E-01     -0.9364566872907965E-01      0.5770998562544787E+00      0.3535533905932738E+01
      0.3550000000000000E+01      0.9999999999999999E+00     -0.9203218881911281E-01     -0.9177545059662759E-01      0.5981148653740846E+00      0.3585038354048671E+01
      0.3600000000000000E+01      0.9999999999999999E+00     -0.8996823371430614E-01     -0.8967584163341470E-01      0.6205328552473117E+00      0.3634556369077250E+01
      0.3650000000000000E+01      0.9999999999999992E+00     -0.8768036065072848E-01     -0.8735208976839377E-01      0.6439987857398336E+00      0.3684087403957729E+01
      0.3700000000000000E+01      0.9999999999999992E+00     -0.8517416611128246E-01     -0.8481000317104082E-01      0.6681838266688954E+00      0.3733630940518894E+01
      0.3750000000000000E+01      0.1000000000000000E+01     -0.8245578857263676E-01     -0.8205593573395609E-01      0.6927872179894229E+00      0.3783186487605389E+01
      0.3800000000000000E+01      0.9999999999999999E+00     -0.7953189552612841E-01     -0.7909677119144165E-01      0.7175360979280997E+00      0.3832753579347360E+01
      0.3850000000000000E+01      0.1000000000000000E+01     -0.7640966917373718E-01     -0.7593990591375079E-01      0.7421841320916086E+00      0.3882331773560833E+01
      0.3900000000000000E+01      0.1000000000000000E+01     -0.7309679078316721E-01     -0.7259323042001399E-01      0.7665095384598084E+00      0.3931920650267500E+01
